City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
544,Vung Tau,VN,84.25,overcast clouds,10.346,107.0843,Seaside Resort
545,Manicore,BR,77.52,overcast clouds,-5.8092,-61.3003,Hotel Durval
547,Mormugao,IN,79.47,clear sky,15.4,73.8,Coconut Creek Resort
548,Epe,NG,75.22,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
550,Catuday,PH,84.43,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
552,Alice Town,BS,78.98,few clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
555,Touros,BR,77.85,clear sky,-5.1989,-35.4608,INN NEW HORIZON
557,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
561,Port Hedland,AU,82.45,few clouds,-20.3167,118.5667,The Esplanade Hotel
563,Moranbah,AU,89.46,overcast clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
564,Urucara,BR,78.66,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
566,Maragogi,BR,75.65,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
577,Emerald,AU,83.34,broken clouds,-23.5333,148.1667,Emerald Inn
582,Thaton,MM,85.95,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
584,Port-Gentil,GA,75.72,moderate rain,-0.7193,8.7815,Fengshui Residence
589,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
592,Kalmunai,LK,79.88,broken clouds,7.4167,81.8167,VS Villa
595,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
596,Totness,SR,79.09,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
599,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
603,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
607,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
608,Port Augusta,AU,77.68,clear sky,-32.5,137.7667,Majestic Oasis Apartments
614,Key Largo,US,78.98,broken clouds,25.0865,-80.4473,Bayside Inn Key Largo
622,Akyab,MM,80.19,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
626,Kingston,JM,76.24,broken clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
635,Grand Gaube,MU,77.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
639,Champerico,GT,80.76,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
640,Pemangkat,ID,84.15,scattered clouds,1.1667,108.9667,Hotel Duyung Permai 2
645,Takoradi,GH,77.34,light rain,4.8845,-1.7554,Raybow International Hotel
649,Auki,SB,82.15,moderate rain,-8.7676,160.7034,Auki Motel
650,Turbat,PK,77.9,clear sky,26.0023,63.044,Mubashar Quarters
655,Weligama,LK,83.07,broken clouds,5.9667,80.4167,Weligama Bay Resort
658,San Juan Nepomuceno,CO,75.69,overcast clouds,9.9516,-75.082,HOTEL ALCAZAR DE LUCAS
665,Cap Malheureux,MU,77.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
669,Catamarca,AR,85.06,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
677,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
