City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Clouldiness,Wind Speed,Current Description
68,Alghero,IT,40.5589,8.3181,53.69,100,20,1.14,few clouds
69,Husavik,IS,66.0449,-17.3389,44.71,76,100,20.51,overcast clouds
70,Tutoia,BR,-2.7619,-42.2744,78.06,79,26,8.95,scattered clouds
71,Dhidhdhoo,MV,6.8833,73.1,81.66,73,68,6.46,broken clouds
72,Upata,VE,8.0086,-62.3989,70.16,96,100,3.42,overcast clouds
73,Mahebourg,MU,-20.4081,57.7,77.25,56,7,4.56,clear sky
74,Chokurdakh,RU,70.6333,147.9167,-20.18,99,90,5.41,overcast clouds
75,Hamilton,US,39.1834,-84.5333,31.87,74,100,13.8,overcast clouds
76,Lubyany,RU,56.0378,51.4,18.01,94,98,6.4,overcast clouds
77,Esperance,AU,-33.8667,121.9,65.12,73,25,22.57,scattered clouds
78,Boma,GH,7.0805,-2.1697,64.81,73,9,1.03,clear sky
79,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.61,93,100,17.76,snow
80,Olinda,BR,-8.0089,-34.8553,76.73,78,75,6.91,broken clouds
81,Antofagasta,CL,-23.65,-70.4,61.88,87,38,2.01,scattered clouds
82,Faya,SA,18.3851,42.4509,50.52,51,4,1.86,clear sky
83,Jamestown,US,42.097,-79.2353,33.39,65,100,14.97,overcast clouds
84,Nikolskoye,RU,59.7035,30.7861,33.78,97,98,6.82,light snow
85,Russellville,US,35.2784,-93.1338,35.74,57,0,6.91,clear sky
86,Nishihara,JP,26.1842,127.7558,78.08,69,75,12.66,broken clouds
87,Kodiak,US,57.79,-152.4072,44.11,93,100,20.71,overcast clouds
88,Pisco,PE,-13.7,-76.2167,62.65,82,0,9.22,clear sky
89,Yar-Sale,RU,66.8333,70.8333,3.16,93,93,8.79,overcast clouds
90,Kyren,RU,51.6828,102.1408,30.02,61,38,1.23,scattered clouds
91,Hilo,US,19.7297,-155.09,74.12,95,100,6.91,heavy intensity rain
92,Qaanaaq,GL,77.484,-69.3632,-6.9,83,100,5.39,overcast clouds
93,Sault Sainte Marie,CA,46.5168,-84.3333,23.56,68,100,6.91,overcast clouds
94,Barrow,US,71.2906,-156.7887,24.82,80,0,18.41,clear sky
95,Matagami,CA,49.7502,-77.6328,14.11,92,100,5.75,overcast clouds
96,Saint-Philippe,RE,-21.3585,55.7679,74.79,67,22,5.55,few clouds
97,Jian,CN,27.1172,114.9793,66.74,70,97,5.08,overcast clouds
98,Onega,RU,63.9061,38.1404,25.72,93,13,4.97,few clouds
99,Upernavik,GL,72.7868,-56.1549,10.38,94,99,13.96,overcast clouds
100,Severo-Kurilsk,RU,50.6789,156.125,35.1,64,97,6.49,overcast clouds
101,Naze,JP,28.3667,129.4833,67.12,72,100,13.38,light rain
102,Airai,TL,-8.9266,125.4092,77.13,50,81,2.98,broken clouds
103,Shimoda,JP,34.6667,138.95,60.1,55,99,7.14,overcast clouds
104,Jalu,LY,29.0331,21.5482,60.22,40,0,10.6,clear sky
105,Riberalta,BO,-10.9833,-66.1,73.29,91,83,2.46,broken clouds
106,Dharchula,IN,29.85,80.5333,63.09,27,0,3.4,clear sky
107,Muncar,ID,-8.4333,114.3333,86.25,67,96,4.61,overcast clouds
108,Port Shepstone,ZA,-30.7414,30.455,69.58,81,98,5.12,overcast clouds
109,Georgetown,MY,5.4112,100.3354,84.13,84,40,5.75,scattered clouds
110,Bluff,NZ,-46.6,168.3333,58.8,90,99,14.32,overcast clouds
111,Praya,CV,14.9215,-23.5087,73.94,83,20,9.22,few clouds
112,Berberati,CF,4.2612,15.7922,65.73,79,28,0.11,scattered clouds
113,Yarim,YE,14.298,44.3779,50.83,42,6,5.03,clear sky
114,Beitbridge,ZW,-22.2167,30.0,79.29,38,0,3.65,clear sky
115,Kapaa,US,22.0752,-159.319,78.78,76,20,13.8,few clouds
116,Matara,LK,5.9485,80.5353,83.89,69,82,3.49,broken clouds
117,Talnakh,RU,69.4865,88.3972,-25.8,97,69,2.62,broken clouds
118,Lorengau,PG,-2.0226,147.2712,85.3,58,100,8.68,overcast clouds
119,Palaikastron,GR,35.2,26.25,62.71,76,2,8.03,clear sky
120,Carnarvon,AU,-24.8667,113.6333,69.67,51,67,18.72,broken clouds
121,Provideniya,RU,64.3833,-173.3,35.71,87,100,15.66,light intensity shower rain
122,Anadyr,RU,64.75,177.4833,30.7,93,40,4.47,scattered clouds
123,Tansen,NP,27.8673,83.5467,61.52,60,9,3.36,clear sky
124,Inhambane,MZ,-23.865,35.3833,73.38,94,20,0.0,few clouds
125,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,75,71,12.88,broken clouds
126,Novobirilyussy,RU,56.9514,90.6661,26.42,83,100,11.74,overcast clouds
127,Kawalu,ID,-7.3817,108.2082,84.25,70,66,1.68,broken clouds
128,Castro,BR,-24.7911,-50.0119,53.91,83,0,6.78,clear sky
129,Chicama,PE,-7.8447,-79.1469,59.54,82,99,6.29,overcast clouds
130,Martapura,ID,-3.4167,114.85,89.69,62,40,4.61,scattered clouds
131,Klaksvik,FO,62.2266,-6.589,50.92,90,94,35.23,overcast clouds
132,Santa Rosalia,MX,27.3167,-112.2833,61.79,54,0,7.83,clear sky
133,Clyde River,CA,70.4692,-68.5914,-5.4,93,99,9.93,overcast clouds
134,Corinto,GR,37.9407,22.9573,65.89,72,98,5.35,overcast clouds
135,Karratha,AU,-20.7377,116.8463,80.37,45,29,19.26,scattered clouds
136,Yerbogachen,RU,61.2767,108.0108,9.45,92,100,2.75,overcast clouds
137,Poronaysk,RU,49.2167,143.1167,30.16,61,11,4.0,few clouds
138,Hasaki,JP,35.7333,140.8333,63.28,59,94,15.39,overcast clouds
139,Chokwe,MZ,-24.5333,32.9833,73.24,68,0,3.85,clear sky
140,Shingu,JP,33.7333,135.9833,63.93,45,80,3.33,broken clouds
141,Chuy,UY,-33.6971,-53.4616,59.68,84,1,4.16,clear sky
142,Ilulissat,GL,69.2167,-51.1,17.62,73,100,6.91,light shower snow
143,Port Lincoln,AU,-34.7333,135.8667,63.45,61,1,16.24,clear sky
144,Manoharpur,IN,27.3,75.95,69.22,27,0,3.96,clear sky
145,Katsuura,JP,35.1333,140.3,61.02,67,96,15.82,overcast clouds
146,Okhotsk,RU,59.3833,143.3,-1.32,73,7,16.17,clear sky
147,Nioki,CD,-2.7167,17.6833,69.44,98,100,0.74,overcast clouds
148,Vila Velha,BR,-20.3297,-40.2925,71.55,98,100,2.3,overcast clouds
149,Hailin,CN,44.5833,129.4167,33.93,66,74,2.84,broken clouds
150,Cayenne,GF,4.9333,-52.3333,77.04,94,0,0.0,clear sky
151,Palmer,US,42.1584,-72.3287,39.61,80,20,3.44,few clouds
152,Yellowknife,CA,62.456,-114.3525,5.5,91,100,5.59,overcast clouds
153,New Norfolk,AU,-42.7826,147.0587,60.91,46,100,1.99,overcast clouds
154,Mehamn,NO,71.0357,27.8492,42.75,75,75,14.97,broken clouds
155,Praia Da Vitoria,PT,38.7333,-27.0667,60.51,72,31,17.96,scattered clouds
156,Uelzen,DE,52.9667,10.5667,39.54,83,100,17.72,overcast clouds
157,Kita,ML,13.0349,-9.4895,71.74,24,100,4.12,overcast clouds
158,Banjar,ID,-8.19,114.9675,88.36,64,96,1.7,overcast clouds
159,Holme,DK,56.1138,10.1725,44.17,77,100,27.87,overcast clouds
160,Didwana,IN,27.4,74.5667,70.88,27,0,1.01,clear sky
161,Lavrentiya,RU,65.5833,-171.0,33.35,97,100,12.48,overcast clouds
162,Namibe,AO,-15.1961,12.1522,69.15,77,99,4.74,overcast clouds
163,Doha,QA,25.2867,51.5333,78.78,73,0,3.44,clear sky
164,Javanrud,IR,34.7961,46.5172,45.61,94,99,3.11,light rain
165,Hithadhoo,MV,-0.6,73.0833,81.09,78,73,11.43,broken clouds
166,Batagay-Alyta,RU,67.8006,130.4114,-25.62,92,58,2.19,broken clouds
167,Khani,GE,41.9563,42.9566,38.77,70,89,4.36,overcast clouds
168,Chapais,CA,49.7834,-74.8492,19.99,95,100,4.56,light snow
169,Lagoa,PT,39.05,-27.9833,60.69,68,100,20.4,overcast clouds
170,Teknaf,BD,20.8624,92.3058,80.01,49,0,4.21,clear sky
171,Muros,ES,42.7762,-9.0603,61.09,81,99,17.11,overcast clouds
172,Tumen,CN,42.9661,129.8425,44.94,41,56,1.52,broken clouds
173,Berlevag,NO,70.8578,29.0864,42.8,65,13,17.2,few clouds
174,Yulara,AU,-25.2406,130.9889,86.43,35,23,21.47,few clouds
175,Waipawa,NZ,-41.4122,175.5153,57.87,98,100,1.83,light rain
176,Bandar,ID,2.05,99.75,86.9,58,100,1.32,overcast clouds
177,Victoria,HK,22.2855,114.1577,80.96,81,55,8.01,broken clouds
178,Olafsvik,IS,64.8945,-23.7142,44.11,79,86,19.24,overcast clouds
179,Strezhevoy,RU,60.7333,77.5889,-8.63,91,28,3.94,scattered clouds
180,Henties Bay,NA,-22.116,14.2845,58.77,94,24,3.76,few clouds
181,Geraldton,AU,-28.7667,114.6,66.61,59,75,17.27,broken clouds
182,Taybad,IR,34.74,60.7756,51.1,40,71,5.7,broken clouds
183,Ostrovnoy,RU,68.0531,39.5131,31.17,90,92,13.91,overcast clouds
184,Bengkulu,ID,-3.8004,102.2655,79.34,78,100,7.38,light rain
185,Mairinque,BR,-23.5458,-47.1833,62.11,81,6,8.79,clear sky
186,Saint-Louis,SN,16.3333,-15.0,80.1,43,81,1.5,broken clouds
187,Bilibino,RU,68.0546,166.4372,-9.76,100,93,1.54,overcast clouds
188,Russell,US,32.3502,-85.1999,46.0,52,100,7.74,overcast clouds
189,Riyadh,SA,24.6877,46.7219,64.54,30,92,9.01,overcast clouds
190,Bonthe,SL,7.5264,-12.505,74.95,87,56,3.74,broken clouds
191,Tiksi,RU,71.6872,128.8694,-18.69,99,97,3.51,overcast clouds
192,Stara Vyzhivka,UA,51.4376,24.44,29.7,82,97,15.1,overcast clouds
193,Glogow,PL,51.6636,16.0845,38.64,87,100,13.87,overcast clouds
194,Cururupu,BR,-1.8283,-44.8683,74.95,86,42,4.16,scattered clouds
195,Marivan,IR,35.5219,46.176,47.53,82,90,2.19,light rain
196,Kilindoni,TZ,-7.9139,39.6668,79.74,71,72,8.14,broken clouds
197,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,54,0,4.47,clear sky
198,Ahrensburg,DE,53.6833,10.25,40.48,84,100,18.41,overcast clouds
199,Meulaboh,ID,4.1363,96.1285,81.0,76,100,6.15,overcast clouds
200,Katherine,AU,-14.4667,132.2667,79.12,69,40,23.02,scattered clouds
201,Najran,SA,17.4924,44.1277,57.85,30,10,2.64,clear sky
202,Venado Tuerto,AR,-33.7456,-61.9688,75.76,31,32,9.06,scattered clouds
203,Shamkhal,RU,43.0596,47.3373,51.78,55,100,12.08,overcast clouds
204,Saint George,US,37.1041,-113.5841,45.19,43,0,3.0,clear sky
205,Rivadavia,AR,-33.1905,-68.4608,72.01,62,36,14.03,scattered clouds
206,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,82,98,9.46,overcast clouds
207,Puerto Carreno,CO,6.189,-67.4859,76.55,94,100,4.76,overcast clouds
208,Nabire,ID,-3.3667,135.4833,86.85,65,96,5.08,overcast clouds
209,Sawtell,AU,-30.3833,153.1,71.19,43,5,16.11,clear sky
210,Baghmara,IN,23.795,86.2085,76.77,39,0,4.99,clear sky
211,Turukhansk,RU,65.8167,87.9833,-37.07,100,94,2.77,overcast clouds
212,East London,ZA,-33.0153,27.9116,65.34,94,40,6.91,scattered clouds
213,Osypenko,UA,46.9136,36.8253,49.95,93,98,13.22,overcast clouds
214,Nowy Dwor Gdanski,PL,54.2131,19.1177,33.57,78,8,9.62,clear sky
215,Flinders,AU,-34.5833,150.8552,66.18,56,44,7.0,scattered clouds
216,Ancud,CL,-41.8697,-73.8203,53.73,93,47,6.67,scattered clouds
217,Woodward,US,36.4337,-99.3904,29.32,78,0,9.22,clear sky
218,Trairi,BR,-3.2778,-39.2689,78.08,73,19,10.51,few clouds
219,Fairbanks,US,64.8378,-147.7164,4.08,85,0,0.0,clear sky
220,Poum,NC,-20.2333,164.0167,80.35,75,100,4.07,overcast clouds
221,Cabo San Lucas,MX,22.8909,-109.9124,75.51,67,58,3.02,broken clouds
222,Storforshei,NO,66.4043,14.5233,34.32,30,10,5.1,clear sky
223,Darhan,MN,49.4867,105.9228,33.89,42,1,4.07,clear sky
224,Daru,PG,-9.0763,143.2092,86.07,72,97,8.66,overcast clouds
225,Pevek,RU,69.7008,170.3133,-0.29,98,98,7.07,overcast clouds
226,Faanui,PF,-16.4833,-151.75,79.88,71,97,0.98,overcast clouds
227,Safford,US,32.834,-109.7076,50.92,32,0,11.5,clear sky
228,Norman Wells,CA,65.282,-126.8329,-2.16,78,75,0.0,broken clouds
229,Sur,OM,22.5667,59.5289,78.84,65,6,4.18,clear sky
230,Torello,ES,42.0463,2.2668,52.43,90,100,2.04,overcast clouds
231,Brenham,US,30.1669,-96.3977,45.36,76,40,0.0,scattered clouds
232,Le Port,RE,-20.9373,55.2919,78.76,61,3,2.51,clear sky
233,Tual,ID,-5.6667,132.75,83.75,72,100,5.17,overcast clouds
234,Aklavik,CA,68.2191,-135.0107,8.2,78,83,2.98,broken clouds
235,San Cristobal,VE,7.7669,-72.225,66.38,98,100,1.59,overcast clouds
236,Pailon,BO,-17.65,-62.75,74.3,56,48,4.45,scattered clouds
237,Salym,RU,60.0625,71.4789,-16.11,100,23,2.53,few clouds
238,Phrae,TH,18.0833,100.0,83.07,70,20,3.44,few clouds
239,Ormstown,CA,45.1334,-73.9992,32.25,94,99,11.63,overcast clouds
240,Bosaso,SO,11.2842,49.1816,76.51,68,0,2.08,clear sky
241,Mananjary,MG,-21.2167,48.3333,75.54,81,38,9.13,light rain
242,Riviere-Au-Renard,CA,48.9957,-64.3971,32.29,97,100,19.35,snow
243,Ribeira Grande,PT,38.5167,-28.7,61.77,68,56,8.01,broken clouds
244,Dalvik,IS,65.9702,-18.5286,46.33,89,100,7.43,overcast clouds
245,Metro,ID,-5.1131,105.3067,81.68,78,88,2.24,moderate rain
246,Vanimo,PG,-2.6741,141.3028,85.95,69,84,6.6,broken clouds
247,Qaqortoq,GL,60.7167,-46.0333,6.08,90,15,4.74,few clouds
248,Vostok,RU,46.4856,135.8833,27.99,67,94,3.85,overcast clouds
249,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,13.8,broken clouds
250,Mosina,PL,52.2454,16.8471,39.34,84,100,13.8,overcast clouds
251,Lisakovsk,KZ,52.5369,62.4936,14.11,95,86,3.31,overcast clouds
252,Moerai,PF,-22.4333,-151.3333,70.95,66,100,8.03,overcast clouds
253,Chengde,CN,40.9725,117.9361,49.03,39,0,2.39,clear sky
254,Evensk,RU,61.95,159.2333,-0.13,88,85,8.32,overcast clouds
255,La Reforma,MX,25.0833,-108.05,68.18,63,6,10.42,clear sky
256,Kirakira,SB,-10.4544,161.9205,82.85,79,79,2.86,broken clouds
257,Tautira,PF,-17.7333,-149.15,77.7,78,79,5.84,broken clouds
258,Bowen,AU,-20.0167,148.2333,81.9,62,53,22.95,broken clouds
259,Ixtapa,MX,20.7,-105.2,74.23,88,0,0.0,clear sky
260,Port Macquarie,AU,-31.4333,152.9167,69.89,46,25,15.64,scattered clouds
261,Aquiraz,BR,-3.9014,-38.3911,80.69,74,30,10.27,scattered clouds
262,Salalah,OM,17.0151,54.0924,77.09,65,0,2.3,clear sky
263,Luntal,PH,14.0292,120.7174,89.37,56,64,9.46,broken clouds
264,Varhaug,NO,58.6147,5.6457,45.9,73,81,31.79,broken clouds
265,Hay River,CA,60.8156,-115.7999,6.78,85,75,5.75,broken clouds
266,Issia,CI,6.4922,-6.5856,66.99,97,2,1.77,clear sky
267,Padang,ID,-0.9492,100.3543,75.25,77,100,4.61,moderate rain
268,Sao Filipe,CV,14.8961,-24.4956,76.75,70,76,5.5,broken clouds
269,Dongsheng,CN,39.8161,109.9776,44.92,48,8,9.26,clear sky
270,Margate,GB,51.3813,1.3862,51.69,96,100,7.0,overcast clouds
271,Komsomolskiy,UZ,40.4272,71.7189,41.72,75,9,2.3,clear sky
272,Mayumba,GA,-3.432,10.6554,75.63,86,100,9.8,light rain
273,At-Bashi,KG,41.1702,75.8106,21.38,77,33,2.01,scattered clouds
274,Trige,DK,56.2529,10.1484,43.97,79,100,23.98,overcast clouds
275,Pucallpa,PE,-8.3791,-74.5539,69.39,99,97,1.5,overcast clouds
276,Ilhabela,BR,-23.7781,-45.3581,68.02,80,0,3.71,clear sky
277,Vostochnyy,RU,55.8167,37.8667,24.98,91,100,2.35,overcast clouds
278,Mendi,PG,-6.1761,143.6513,68.07,76,98,5.86,overcast clouds
279,Omboue,GA,-1.5746,9.2618,74.59,90,91,8.46,moderate rain
280,Kamenka,RU,51.3223,42.7678,31.05,99,100,6.46,snow
281,Charters Towers,AU,-20.1,146.2667,95.23,13,65,10.2,broken clouds
282,Nanortalik,GL,60.1432,-45.2371,18.77,76,26,21.0,scattered clouds
283,Killam,CA,52.7834,-111.8518,15.75,79,100,26.46,overcast clouds
284,Malartic,CA,48.1335,-78.1328,15.91,91,100,6.13,overcast clouds
285,San Lawrenz,MT,36.0553,14.204,62.85,87,82,6.22,broken clouds
286,Barabai,ID,-2.5833,115.3833,92.05,52,100,3.29,light rain
287,Port Victoria,KE,0.0939,33.9756,67.55,82,78,6.62,light rain
288,Pustoshka,RU,56.3355,29.369,29.66,72,99,4.99,overcast clouds
289,Ylojarvi,FI,61.5563,23.5961,30.61,90,100,4.61,overcast clouds
290,Belton,US,38.812,-94.5319,25.81,75,0,0.0,clear sky
291,Rayadrug,IN,14.7,76.8667,74.07,48,53,5.97,broken clouds
292,Kijang,KR,35.2442,129.2139,62.33,35,100,2.08,overcast clouds
293,Bambous Virieux,MU,-20.3428,57.7575,77.22,68,75,3.44,broken clouds
294,Merritt,CA,50.1123,-120.7942,27.46,98,100,2.51,overcast clouds
295,Ducheng,CN,23.2373,111.5317,85.48,55,50,3.06,scattered clouds
296,Segezha,RU,63.7415,34.3222,31.51,91,74,8.14,broken clouds
297,Kruisfontein,ZA,-34.0033,24.7314,56.88,74,96,6.13,overcast clouds
298,Westport,US,41.1415,-73.3579,42.84,69,0,13.8,clear sky
299,Robertsport,LR,6.7533,-11.3686,78.04,81,17,2.95,few clouds
300,Mgandu,TZ,-5.95,34.1333,65.79,67,80,3.44,broken clouds
301,Saldanha,ZA,-33.0117,17.9442,59.5,77,97,15.55,overcast clouds
302,Deputatskiy,RU,69.3,139.9,-29.45,100,79,2.44,broken clouds
303,Shu,KZ,43.5983,73.7614,31.62,69,54,7.27,broken clouds
304,Aras,ES,42.5617,-2.356,58.77,93,86,2.3,overcast clouds
305,Calvinia,ZA,-31.4707,19.776,52.2,72,84,4.12,broken clouds
306,Puri,IN,19.8,85.85,79.32,50,0,11.03,clear sky
307,Lepe,ES,37.2548,-7.2043,64.11,79,98,9.53,overcast clouds
308,Nizhniy Kuranakh,RU,58.8353,125.4869,17.33,92,100,4.0,light snow
309,Taoudenni,ML,22.6783,-3.9836,70.16,19,0,8.57,clear sky
310,Mount Gambier,AU,-37.8333,140.7667,60.49,57,90,7.23,overcast clouds
311,Lamu,KE,-2.2717,40.902,77.22,84,100,2.66,moderate rain
312,Ovalle,CL,-30.5983,-71.2003,66.33,67,0,2.8,clear sky
313,Kavieng,PG,-2.5744,150.7967,84.65,70,89,8.05,light rain
314,Atar,MR,20.5169,-13.0499,74.14,23,0,9.28,clear sky
315,Mountain Home,US,43.133,-115.6912,24.28,93,0,0.0,clear sky
316,Tres Barras,BR,-26.1064,-50.3222,51.28,95,0,2.89,clear sky
317,Surt,LY,31.2089,16.5887,66.38,38,0,14.99,clear sky
318,Naryan-Mar,RU,67.6713,53.087,10.27,94,82,11.83,broken clouds
319,Pangkalanbuun,ID,-2.6833,111.6167,91.45,54,100,3.31,overcast clouds
320,Teya,RU,60.3778,92.6267,0.27,92,84,1.7,broken clouds
321,Evanston,US,42.0411,-87.6901,33.1,85,75,6.91,broken clouds
322,Coquimbo,CL,-29.9533,-71.3436,56.93,100,0,1.14,clear sky
323,Aldan,RU,58.6031,125.3894,15.17,90,100,7.96,overcast clouds
324,Esso,RU,55.9333,158.7,10.49,92,8,3.2,clear sky
325,Kahului,US,20.8947,-156.47,78.82,74,40,14.97,scattered clouds
326,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.98,81,96,20.07,light rain
327,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,72.99,88,35,3.09,scattered clouds
328,Unecha,RU,52.8459,32.6739,24.78,78,30,10.96,scattered clouds
